HANDELSID,TID,PRIS,VOLUM,TYPE
1IV251ANH,16:11:03,268.50,81,Exchange Continuous
1IV251ANF,16:10:59,268.50,380,Exchange Continuous
1IV251ANE,16:10:59,268.50,44,Exchange Continuous
1IV251AND,16:10:59,268.50,336,Exchange Continuous
1IV251AMZ,16:10:24,268.60,436,Exchange Continuous
1IV251AMW,16:10:08,268.70,70,Exchange Continuous
1IV251AMV,16:10:08,268.70,330,Exchange Continuous
1IV251AMU,16:10:08,268.70,436,Exchange Continuous
1IV251AMT,16:10:06,268.75,70,Exchange Continuous
1IV251AMS,16:10:06,268.75,163,Exchange Continuous
1IV251AMR,16:10:06,268.75,3,Exchange Continuous
1IV251AMQ,16:10:06,268.75,147,Exchange Continuous
1IV251AMP,16:10:06,268.75,123,Exchange Continuous
1IV251AMO,16:10:06,268.75,420,Exchange Continuous
1IV251AMN,16:10:06,268.75,436,Exchange Continuous
1IV251AMB,16:09:42,268.70,360,Exchange Continuous
